region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled,Vendedor,Región,Ventas,Costos,Fecha_Venta,Metodo_Pago,Ganancia,Rentabilidad,Costo_Por_Venta
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,36211.0,122.0,6.77,3521.0,171.82,85.15002217361769,516.39,1746.2175523753178,4.482537345735413,204.0,50173.8578221637,Carlos,Este,185,145.47351272816994,2024-10-07 22:05:04.269205,Efectivo,39.526487271830064,Baja,0.7863433120441619
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,64874.0,145.0,4.18,730.0,42.34,74.0,439.6343180310605,1802.0,7.0,224.0,62975.0,Ana,Sur,136,108.309808880444,2024-10-07 22:05:04.269205,Efectivo,27.690191119556005,Baja,0.7963956535326764
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,58493.0,142.0,4.76,3389.0,192.5,34.0,239.44,1369.0,6.0,284.0,77778.0,Pedro,Este,339,245.65280559555814,2024-10-09 22:05:04.269205,Efectivo,93.34719440444186,Baja,0.72463954452967
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,54915.77648786856,517.0,10.69,1430.0,295.72,54.0,104.45,1392.0,4.0,284.0,55552.0,Ana,Norte,470,385.58460302017477,2024-10-15 22:05:04.269205,Transferencia,84.41539697982523,Baja,0.8203927723833506
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,70920.0,184.0,11.57,2442.0,179.73,82.0,445.65,1395.0,7.0,294.0,5905.0,Pedro,Este,155,134.60318804026858,2024-09-25 22:05:04.269205,Efectivo,20.396811959731423,Baja,0.8684076647759263
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,35735.0,599.0,8.46,4447.0,1065.5,73.0,121.87,1666.0,5.0,166.0,50173.8265009184,Ana,Oeste,255,210.9185208846621,2024-10-08 22:05:04.269205,Transferencia,44.08147911533791,Baja,0.8271314544496552
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,47081.0,156.0,4.99,3101.0,193.5,88.0,564.1,1171.0,4.0,187.1928896979568,27162.0,Pedro,Oeste,285,223.60402820724136,2024-10-05 22:05:04.269205,Efectivo,61.395971792758644,Baja,0.7845755375692679
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,78123.0,463.0,10.33,1464.8970955853822,307.62,33.0,71.27,1244.0,3.0,84.0,67732.0,Maria,Sur,432,294.31595198579026,2024-09-21 22:05:04.269205,Transferencia,137.68404801420974,Media,0.681286925893033
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,34869.0,515.0,9.2,603.4785107807297,213.62,84.0,183.1353923215347,1250.0,7.0,241.0,30761.0,Luis,Sur,276,214.30269900953743,2024-09-24 22:05:04.269205,Tarjeta de Crédito,61.697300990462566,Baja,0.776459054382382
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,48828.0,317.0,5.78,3134.0,397.39,54.0,170.35,1009.0,5.0,156.0,94784.0,Pedro,Sur,469,356.2524910866729,2024-10-01 22:05:04.269205,Transferencia,112.74750891332712,Media,0.7596001942146543
