region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,36211.0,122.0,6.77,3521.0,171.82,85.15002217361769,516.39,1746.2175523753178,4.482537345735413,204.0,50173.8578221637
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,64874.0,145.0,4.18,730.0,42.34,74.0,439.6343180310605,1802.0,7.0,224.0,62975.0
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,58493.0,142.0,4.76,3389.0,192.5,34.0,239.44,1369.0,6.0,284.0,77778.0
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,54915.776487868556,517.0,10.69,1430.0,295.72,54.0,104.45,1392.0,4.0,284.0,55552.0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,70920.0,184.0,11.57,2442.0,179.73,82.0,445.65,1395.0,7.0,294.0,5905.0
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,35735.0,599.0,8.46,4447.0,1065.5,73.0,121.87,1666.0,5.0,166.0,50173.8265009184
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,47081.0,156.0,4.99,3101.0,193.5,88.0,564.1,1171.0,4.0,187.19288969795682,27162.0
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,78123.0,463.0,10.33,1464.8970955853822,307.62,33.0,71.27,1244.0,3.0,84.0,67732.0
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,34869.0,515.0,9.2,603.4785107807297,213.62,84.0,183.1353923215347,1250.0,7.0,241.0,30761.0
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,48828.0,317.0,5.78,3134.0,397.39,54.0,170.35,1009.0,5.0,156.0,94784.0
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,31887.0,288.0,6.53902044972882,870.0,100.22,66.0,229.17,1075.0,5.0,169.0,92882.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,48837.0,224.0,5.66,330.0,29.57,42.0,254.281536651851,2294.0,3.0,165.0,66440.0
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,37193.0,370.0,6.500379787722199,2814.0,416.1635699890318,28.0,75.68,1374.0,3.0,82.0,93075.0
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,77564.0,339.0,5.98,2548.0,345.51,41.0,120.94,2288.0,6.0,285.0,38683.0
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,57706.0,441.0,5.44,3043.0,536.79,90.0,204.08,1522.0,2.0,133.0,50167.43975892908
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,54785.0,454.0,2.9,2864.0,508.58336105411416,61.640728594898874,143.90407147566188,1748.1714558659576,5.0,122.0,39476.0
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,70891.0,135.0,1.58,2372.0,128.09,71.0,525.93,1262.0,7.0,185.60481650020358,30289.0
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,64191.0,159.0,10.1,2337.797297281553,127.84,61.0,383.65,2221.0,4.0,112.0,22130.0
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,55340.573362102485,169.0,5.33,4450.0,300.82,103.54964475214561,573.96,1748.8613758459237,3.0,233.0,64675.0
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,45361.0,122.0,5.24,3831.0,186.95,83.0,680.33,2490.0,3.0,262.0,85495.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,50913.0,545.0,11.77,2016.0,439.49,79.0,144.95,1629.0,4.509271428301091,278.0,32812.0
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,55352.2448571965,353.5595323561901,5.65,4694.0,659.04,93.0,341.24359390783184,1175.0,6.0,171.0,78075.0
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,41715.0,193.0,4.47,3253.0,251.13,56.93950346363842,319.9174799713073,1884.0,2.0,187.5963543083685,16217.0
